Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Lauri Markkanen,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malcolm Brogdon,Micah Potter,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Malcolm Brogdon,co_inf with Micah Potter,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,co_inf with Frank Jackson,co_inf with Jarrell Brantley,co_inf with Kris Dunn,co_inf with Luka Šamanić,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
49,48,20,2023-01-24,27-208,LAL,,LAC,L (-18),0,5:07,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.1,0,1.0,0.0,0.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,1.0,54.0,1.6875,-0.0999999999999999,64.7,2.021875
50,49,21,2023-01-25,27-209,LAL,,SAS,W (+9),0,0:26,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,0.0,39.0,1.21875,0.0,51.8,1.61875
51,50,,2023-01-28,27-212,LAL,@,BOS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,52.0,1.625,0.0,56.60000000000001,1.7687500000000003
52,51,22,2023-01-30,27-214,LAL,@,BRK,L (-17),0,2:00,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-3,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,-1.0,59.0,1.84375,-1.0,63.89999999999999,1.9968749999999997
53,52,,2023-01-31,27-215,LAL,@,NYK,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,52.0,1.625,0.0,52.6,1.64375
54,53,,2023-02-02,27-217,LAL,@,IND,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,75.0,2.34375,0.0,79.70000000000002,2.4906250000000005
55,54,,2023-02-04,27-219,LAL,@,NOP,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,49.0,1.53125,0.0,53.00000000000001,1.6562500000000002
56,55,,2023-02-07,27-222,LAL,,OKC,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,42.0,1.3125,0.0,54.400000000000006,1.7000000000000002
57,56,,2023-02-10,27-225,UTA,@,TOR,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,71.0,2.21875,0.0,89.19999999999999,2.7874999999999996
58,57,,2023-02-11,27-226,UTA,@,NYK,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,78.0,2.4375,0.0,92.6,2.89375
59,58,,2023-02-13,27-228,UTA,@,IND,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,70.0,2.1875,0.0,85.4,2.66875
60,59,23,2023-02-15,27-230,UTA,@,MEM,L (-6),0,7:40,3.0,4.0,.750,0.0,0.0,,1,2.0,.500,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,7.0,5.8,+10,4.0,3.0,0.75,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,5.0,106.0,3.3125,5.4,96.39999999999998,3.0124999999999993
61,60,24,2023-02-23,27-238,UTA,,OKC,W (+1),0,13:20,0.0,0.0,,0.0,0.0,,0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.6,-9,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,5.0,80.0,2.5,1.6,59.899999999999984,1.8718749999999995
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-25,27-240,UTA,,SAS,W (+16),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,76.0,2.375,0.0,73.0,2.28125
64,62,,2023-02-28,27-243,UTA,,SAS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,,74.0,2.3125,0.0,75.39999999999999,2.3562499999999997
65,63,25,2023-03-03,27-246,UTA,@,OKC,L (-27),0,20:08,3.0,3.0,1.000,0.0,0.0,,1,1.0,1.000,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,7.0,7.0,-8,3.0,3.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,7.0,31.0,0.96875,6.599999999999999,43.7,1.365625
66,64,26,2023-03-05,27-248,UTA,@,OKC,L (-10),0,13:45,1.0,3.0,.333,0.0,0.0,,2,2.0,1.000,2.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,4.0,4.3,-9,3.0,1.0,0.3333333333333333,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,4.0,47.0,1.46875,3.5000000000000018,53.1,1.659375
67,65,27,2023-03-07,27-250,UTA,@,DAL,L (-4),0,23:24,3.0,3.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,7.0,7.8,-3,2.0,2.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,11.0,62.0,1.9375,7.799999999999998,76.49999999999999,2.3906249999999996
68,66,28,2023-03-09,27-252,UTA,@,ORL,W (+7),0,14:16,3.0,3.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,4.9,-9,2.0,2.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,13,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588,3,20,15,3,17,10,21,4,18,16,19,10,18,17,12,15,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,67.0,7.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0625,0.8333333333333334,0.0491803278688524,0.25,0.1515151515151515,0.0,0.0,0.5714285714285714,0.3220338983050847,0.1785714285714285,0.3461538461538461,0.2615384615384615,0.3333333333333333,0.2027027027027027,0.0,0.0,0.0,0.0,32,5.0,49.0,1.53125,4.9,55.00000000000001,1.7187500000000002
